ID,Agency Name,TikTok ID,Followers,Full Name,Domicile,UID,Phone Number,TikTok Link,Binding Status,Onboarding Date,Month,Notes
802,GOLDEN MAKER,novika_sarii,,DIA NOVIKASARI,,,,https://www.tiktok.com/@novika_sarii,NOT BOUND,,,
803,,_cloudisky,215,,,,,https://www.tiktok.com/@_cloudisky,BOUND,12/10/2025,October,
804,,aadeeee01,"1,285",,,,,https://www.tiktok.com/@aadeeee01,BOUND,24/09/2025,September,
805,BTC MANAGEMENT,makanenak201,,DIO SANDI PRATAMA ,,,,https://www.tiktok.com/@makanenak201,,,,
806,,adrella_0,204,,,,,https://www.tiktok.com/@adrella_0,BOUND,08/11/2025,November,
807,,anggieratih3,"1,014",,,,,https://www.tiktok.com/@anggieratih3,BOUND,08/08/2025,August,
808,,angkasa.rr,"1,582",,,,,https://www.tiktok.com/@angkasa.rr,BOUND,25/09/2025,September,
809,HM Management,amazing0027 ,,Meriyani ,,,,https://www.tiktok.com/@amazing0027 ,,,,
810,HM Management,anyavanya5,"1,055",Anyavanya5,,,,https://www.tiktok.com/@anyavanya5,BOUND,29/10/2025,October,
811,GOLDEN MAKER,asiyp_chiazhio,"2,465",Asi yuni pratiwi,,,,https://www.tiktok.com/@asiyp_chiazhio,BOUND,06/10/2025,October,
812,,baby_el280622,"1,218",,,,,https://www.tiktok.com/@baby_el280622,BOUND,21/09/2025,September,
813,,bayigede99,"4,139",,,,,https://www.tiktok.com/@bayigede99,BOUND,07/10/2025,October,
814,GOLDEN MAKER,@citra_selly,,Citra Selly,,,,https://www.tiktok.com/@@citra_selly,,,,
815,BTC MANAGEMENT,reviewmaknan4,,Evi Agustina,,,,https://www.tiktok.com/@reviewmaknan4,,,,
816,HM Management,antypermatasari6 ,,Anty permata sari ,,,,https://www.tiktok.com/@antypermatasari6 ,,,,
817,,baysaja29,"1,045",,,,,https://www.tiktok.com/@baysaja29,BOUND,12/10/2025,October,
818,HM Management,Ina.rustina41 ,,Ina rustina ,,,,https://www.tiktok.com/@Ina.rustina41 ,,,,
819,HM Management,Cici-ep,,Cici Esa Pratama,,,,https://www.tiktok.com/@Cici-ep,,,,
820,GOLDEN MAKER,nisaseptiani44 ,,Nisa septiani ,,,,https://www.tiktok.com/@nisaseptiani44 ,,,,
821,WH MANAGEMENT,ghiskashakayla ,,Gianida Utari ,,,,https://www.tiktok.com/@ghiskashakayla ,,,,
822,,bayyuu_15,"6,035",,,,,https://www.tiktok.com/@bayyuu_15,BOUND,12/11/2025,November,
823,HM Management,bisnisberjalan0,"1,080",BUDIANTO,,,,https://www.tiktok.com/@bisnisberjalan0,BOUND,24/10/2025,October,
824,HM Management,bocah.mager.trip,141,Afanin Ryandana ,,,,https://www.tiktok.com/@bocah.mager.trip,BOUND,30/10/2025,October,
